Name,Ticker,Sector,Category
Tesla Inc,TSLA,Automobile Manufacturers,S&P Clean Power
Enphase Energy Inc.,ENPH,Semiconductor Equipment,S&P Clean Power
First Solar Inc.,FSLR,Semiconductors,S&P Clean Power
SolarEdge Technologies Inc.,SEDG,Semiconductor Equipment,S&P Clean Power
JinkoSolar Holding Co. Ltd. Sponsored ADR,JKS,Semiconductors,S&P Clean Power
Sunnova Energy International Inc,NOVA,Renewable Electricity,S&P Clean Power
SunPower Corporation,SPWR,Semiconductors,S&P Clean Power
Array Technologies Inc,ARRY,Electrical Components & Equipment,S&P Clean Power
Sunrun Inc.,RUN,Electrical Components & Equipment,S&P Clean Power
Maxeon Solar Technologies Ltd.,MAXN,Semiconductors,S&P Clean Power
Plug Power Inc.,PLUG,Electrical Components & Equipment,S&P Clean Power
NextEra Energy Inc.,NEE,Electric Utilities,S&P Clean Power
Daqo New Energy Corp Sponsored ADR,DQ,Semiconductor Equipment,S&P Clean Power
Canadian Solar Inc.,CSIQ,Semiconductors,S&P Clean Power
Atlantica Sustainable Infrastructure plc,AY,Renewable Electricity,S&P Clean Power
Shoals Technologies Group Inc. Class A,SHLS,Electrical Components & Equipment,S&P Clean Power
Enbridge Inc.,ENB,Oil & Gas Storage & Transportation,S&P Clean Power
Ormat Technologies Inc.,ORA,Renewable Electricity,S&P Clean Power
AES Corporation,AES,Independent Power Producers & Energy Traders,S&P Clean Power
Ballard Power Systems Inc.,BLDP-CA,Electrical Components & Equipment,S&P Clean Power
Consolidated Edison Inc.,ED,Multi-Utilities,S&P Clean Power
ReneSola Ltd. Sponsored ADR,SOL,Construction & Engineering,S&P Clean Power
Avangrid Inc.,AGR,Electric Utilities,S&P Clean Power
General Electric Company,GE,Industrial Conglomerates,S&P Clean Power
Azure Power Global Ltd.,AZRE,Renewable Electricity,S&P Clean Power
Algonquin Power & Utilities Corp.,AQN-CA,Multi-Utilities,S&P Clean Power
ALLETE Inc.,ALE,Electric Utilities,S&P Clean Power
American Superconductor Corporation,AMSC,Electrical Components & Equipment,S&P Clean Power
New Jersey Resources Corporation,NJR,Gas Utilities,S&P Clean Power
Huntsman Corporation,HUN,Diversified Chemicals,S&P Clean Power
Companhia Paranaense de Energia Sponsored ADR,ELP,Electric Utilities,S&P Clean Power
Arcosa Inc.,ACA,Construction & Engineering,S&P Clean Power
Enel Americas S.A. Sponsored ADR,ENIA,Electric Utilities,S&P Clean Power
Applied Materials Inc.,AMAT,Semiconductor Equipment,S&P Clean Power
TPI Composites Inc.,TPIC,Heavy Electrical Equipment,S&P Clean Power
Valmont Industries Inc.,VMI,Construction & Engineering,S&P Clean Power
FuelCell Energy Inc.,FCEL,Electrical Components & Equipment,S&P Clean Power
Eos Energy Enterprises Inc. Class A,EOSE,Electrical Components & Equipment,S&P Clean Power
Centrais Eletricas Brasileiras SA-Eletrobras Sponsored ADR,EBR,Electric Utilities,S&P Clean Power
Hyster-Yale Materials Handling Inc. Class A,HY,Industrial Machinery,S&P Clean Power
TransAlta Corporation,TA-CA,Independent Power Producers & Energy Traders,S&P Clean Power
Enel Chile SA Sponsored ADR,ENIC,Electric Utilities,S&P Clean Power
Taiwan Semiconductor Manufacturing Co. Ltd. Sponsored ADR,TSM,Information Technology,MSCI ACWI ex-US
Nestle S.A.,NESN-CH,Consumer Staples,MSCI ACWI ex-US
ASML Holding NV,ASML-NL,Information Technology,MSCI ACWI ex-US
Tencent Holdings Ltd.,700-HK,Communication Services,MSCI ACWI ex-US
Samsung Electronics Co. Ltd. Sponsored GDR,SMSN-GB,Information Technology,MSCI ACWI ex-US
Alibaba Group Holding Ltd.,9988-HK,Consumer Discretionary,MSCI ACWI ex-US
Roche Holding Ltd,ROG-CH,Health Care,MSCI ACWI ex-US
LVMH Moet Hennessy Louis Vuitton SE,MC-FR,Consumer Discretionary,MSCI ACWI ex-US
Novo Nordisk A/S Class B,NOVO.B-DK,Health Care,MSCI ACWI ex-US
Novartis AG,NOVN-CH,Health Care,MSCI ACWI ex-US
Toyota Motor Corp.,7203-JP,Consumer Discretionary,MSCI ACWI ex-US
Royal Bank of Canada,RY-CA,Financials,MSCI ACWI ex-US
SAP SE,SAP-DE,Information Technology,MSCI ACWI ex-US
AstraZeneca PLC,AZN-GB,Health Care,MSCI ACWI ex-US
Shopify Inc. Class A,SHOP-CA,Information Technology,MSCI ACWI ex-US
Sony Group Corporation,6758-JP,Consumer Discretionary,MSCI ACWI ex-US
Commonwealth Bank of Australia,CBA-AU,Financials,MSCI ACWI ex-US
Unilever PLC,ULVR-GB,Consumer Staples,MSCI ACWI ex-US
Toronto-Dominion Bank,TD-CA,Financials,MSCI ACWI ex-US
Siemens AG,SIE-DE,Industrials,MSCI ACWI ex-US
AIA Group Limited,1299-HK,Financials,MSCI ACWI ex-US
Meituan Class B,3690-HK,Consumer Discretionary,MSCI ACWI ex-US
Diageo plc,DGE-GB,Consumer Staples,MSCI ACWI ex-US
L'Oreal SA,OR-FR,Consumer Staples,MSCI ACWI ex-US
TotalEnergies SE,TTE-FR,Energy,MSCI ACWI ex-US
HSBC Holdings Plc,HSBA-GB,Financials,MSCI ACWI ex-US
Sanofi,SAN-FR,Health Care,MSCI ACWI ex-US
Canadian National Railway Company,CNR-CA,Industrials,MSCI ACWI ex-US
Schneider Electric SE,SU-FR,Industrials,MSCI ACWI ex-US
Reliance Industries Limited Sponsored GDR 144A,RLI-DE,Energy,MSCI ACWI ex-US
Allianz SE,ALV-DE,Financials,MSCI ACWI ex-US
CSL Limited,CSL-AU,Health Care,MSCI ACWI ex-US
GlaxoSmithKline plc,GSK-GB,Health Care,MSCI ACWI ex-US
BP p.l.c.,BP-GB,Energy,MSCI ACWI ex-US
Prosus N.V. Class N,PRX-NL,Consumer Discretionary,MSCI ACWI ex-US
Iberdrola SA,IBE-ES,Utilities,MSCI ACWI ex-US
Air Liquide SA,AI-FR,Materials,MSCI ACWI ex-US
Infosys Limited Sponsored ADR,INFY,Information Technology,MSCI ACWI ex-US
Royal Dutch Shell Plc Class B,RDSB-GB,Energy,MSCI ACWI ex-US
Keyence Corporation,6861-JP,Information Technology,MSCI ACWI ex-US
Bank of Montreal,BMO-CA,Financials,MSCI ACWI ex-US
BHP Group Ltd,BHP-AU,Materials,MSCI ACWI ex-US
Daimler AG,DAI-DE,Consumer Discretionary,MSCI ACWI ex-US
Brookfield Asset Management Inc. Class A,BAM.A-CA,Financials,MSCI ACWI ex-US
Hong Kong Exchanges & Clearing Ltd.,388-HK,Financials,MSCI ACWI ex-US
Royal Dutch Shell Plc Class A,RDSA-GB,Energy,MSCI ACWI ex-US
Bank of Nova Scotia,BNS-CA,Financials,MSCI ACWI ex-US
Zurich Insurance Group Ltd,ZURN-CH,Financials,MSCI ACWI ex-US
British American Tobacco p.l.c.,BATS-GB,Consumer Staples,MSCI ACWI ex-US
Deutsche Post AG,DPW-DE,Industrials,MSCI ACWI ex-US
Givaudan SA,GIVN-CH,Materials,MSCI ACWI ex-US
ABB Ltd.,ABBN-CH,Industrials,MSCI ACWI ex-US
UBS Group AG,UBSG-CH,Financials,MSCI ACWI ex-US
Rio Tinto plc,RIO-GB,Materials,MSCI ACWI ex-US
Westpac Banking Corporation,WBC-AU,Financials,MSCI ACWI ex-US
Shin-Etsu Chemical Co Ltd,4063-JP,Materials,MSCI ACWI ex-US
Airbus SE,AIR-FR,Industrials,MSCI ACWI ex-US
