Name,Ticker,Sector,Category,Weight
Tesla Inc,TSLA,Automobile Manufacturers,Clean Power,4.416049
Enphase Energy Inc.,ENPH,Semiconductor Equipment,Clean Power,4.008034
First Solar Inc.,FSLR,Semiconductors,Clean Power,3.692346
SolarEdge Technologies Inc.,SEDG,Semiconductor Equipment,Clean Power,3.578482
JinkoSolar Holding Co. Ltd. Sponsored ADR,JKS,Semiconductors,Clean Power,3.52459
Sunnova Energy International Inc,NOVA,Renewable Electricity,Clean Power,3.503164
SunPower Corporation,SPWR,Semiconductors,Clean Power,3.268508
Array Technologies Inc,ARRY,Electrical Components & Equipment,Clean Power,3.236316
Sunrun Inc.,RUN,Electrical Components & Equipment,Clean Power,3.159645
Maxeon Solar Technologies Ltd.,MAXN,Semiconductors,Clean Power,2.97737
Plug Power Inc.,PLUG,Electrical Components & Equipment,Clean Power,2.80168
NextEra Energy Inc.,NEE,Electric Utilities,Clean Power,2.795468
Daqo New Energy Corp Sponsored ADR,DQ,Semiconductor Equipment,Clean Power,2.677956
Canadian Solar Inc.,CSIQ,Semiconductors,Clean Power,2.554503
Atlantica Sustainable Infrastructure plc,AY,Renewable Electricity,Clean Power,2.542257
Shoals Technologies Group Inc. Class A,SHLS,Electrical Components & Equipment,Clean Power,2.514855
Enbridge Inc.,ENB,Oil & Gas Storage & Transportation,Clean Power,2.498186
Ormat Technologies Inc.,ORA,Renewable Electricity,Clean Power,2.44364
AES Corporation,AES,Independent Power Producers & Energy Traders,Clean Power,2.365629
Ballard Power Systems Inc.,BLDP-CA,Electrical Components & Equipment,Clean Power,2.364488
Consolidated Edison Inc.,ED,Multi-Utilities,Clean Power,2.327705
ReneSola Ltd. Sponsored ADR,SOL,Construction & Engineering,Clean Power,2.326954
Avangrid Inc.,AGR,Electric Utilities,Clean Power,2.287783
General Electric Company,GE,Industrial Conglomerates,Clean Power,2.266673
Azure Power Global Ltd.,AZRE,Renewable Electricity,Clean Power,2.235663
Algonquin Power & Utilities Corp.,AQN-CA,Multi-Utilities,Clean Power,2.160974
ALLETE Inc.,ALE,Electric Utilities,Clean Power,2.084214
American Superconductor Corporation,AMSC,Electrical Components & Equipment,Clean Power,2.057171
New Jersey Resources Corporation,NJR,Gas Utilities,Clean Power,2.050645
Huntsman Corporation,HUN,Diversified Chemicals,Clean Power,2.028143
Companhia Paranaense de Energia Sponsored ADR,ELP,Electric Utilities,Clean Power,2.021739
Arcosa Inc.,ACA,Construction & Engineering,Clean Power,2.007071
Enel Americas S.A. Sponsored ADR,ENIA,Electric Utilities,Clean Power,1.992166
Applied Materials Inc.,AMAT,Semiconductor Equipment,Clean Power,1.720224
TPI Composites Inc.,TPIC,Heavy Electrical Equipment,Clean Power,1.711237
Valmont Industries Inc.,VMI,Construction & Engineering,Clean Power,1.682857
FuelCell Energy Inc.,FCEL,Electrical Components & Equipment,Clean Power,1.677461
Eos Energy Enterprises Inc. Class A,EOSE,Electrical Components & Equipment,Clean Power,1.328545
Centrais Eletricas Brasileiras SA-Eletrobras Sponsored ADR,EBR,Electric Utilities,Clean Power,1.112776
Hyster-Yale Materials Handling Inc. Class A,HY,Industrial Machinery,Clean Power,0.659602
TransAlta Corporation,TA-CA,Independent Power Producers & Energy Traders,Clean Power,0.545508
Enel Chile SA Sponsored ADR,ENIC,Electric Utilities,Clean Power,0.447059
Taiwan Semiconductor Manufacturing Co. Ltd. Sponsored ADR,TSM,Information Technology,ACWI ex-US,1.896357
Nestle S.A.,NESN-CH,Consumer Staples,ACWI ex-US,1.541152
ASML Holding NV,ASML-NL,Information Technology,ACWI ex-US,1.360757
Tencent Holdings Ltd.,700-HK,Communication Services,ACWI ex-US,1.346812
